Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"April 01, 2025 01:18",0.0,4959,Modern Heritage Tour of Downtown Abu Dhabi,FreePayment,409279
"April 01, 2025 01:22",0.0,4938,Abu Dhabi Skyline Tour,FreePayment,409279
"April 01, 2025 01:31",29.99,8498,Kentucky Bourbon Tour: Birth to Boom | Full Tour to All Four Distilleries,AndroidPayment,409280
"April 01, 2025 01:34",0.0,5009,The Historical Heart of Abu Dhabi: An Architecture Tour Around Al Hosn Site,FreePayment,409279
"April 01, 2025 02:02",0.0,6856,Al Wathba Fossil Dunes Reserve Tour,FreePayment,409279
"April 01, 2025 02:12",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,StripePayment,409284
"April 01, 2025 02:19",9.99,8246,The Secrets of the Historical Garden District: A Walking Tour,StripePayment,409014
"April 01, 2025 02:40",11.99,6969,"Tales of the Lake District: A Windermere, Coniston and Hawkshead driving tour",CouponRedemptionResellerReply,409288
"April 01, 2025 02:41",0.0,5363,"Mandarin Oriental, Bangkok: a neighbourhood tour",CouponRedemption,409290
"April 01, 2025 02:49",19.99,9481,The Nasrid and Charles V Palaces: An Alhambra Audio Tour with Context,CouponRedemptionPaid,409292
"April 01, 2025 03:07",6.99,10184,Snapshots of Bangkok: A Guide to its Most Picturesque Sights,InAppPurchase,156575
"April 01, 2025 03:25",19.99,9361,From Colonialism to Democracy: A Rio de Janeiro Tour with Context,CouponRedemptionPaid,409296
"April 01, 2025 03:31",19.99,9694,Hemingway’s Paris: A Tour of His Life and Work with Context,StripePayment,409297
"April 01, 2025 05:20",9.99,12432,Sitka Foresters Present: If Trees Could Only Talk -  A Historical Walk,FreePayment,69228
"April 01, 2025 06:07",7.99,10161,Wicked Whitechapel: Where Now’s Jack The Ripper Audio Tour,InAppPurchase,352941
"April 01, 2025 06:21",24.99,7568,Test Route for VN team,FreePayment,409300
"April 01, 2025 06:21",7.99,12505,Đền và Rồng: Đi bộ tham quan Hồ Hoàn Kiếm và Lịch sử của Hà Nội,FreePayment,409300
"April 01, 2025 06:38",19.99,8549,Borghese Gallery and Museum: An Audio Tour with Context,CouponRedemptionPaid,408003
"April 01, 2025 06:53",11.99,6849,Helsinki Walking Tour: Historical Highlights from the Finnish Capital,StripePayment,326214
