Created at [Route Purchase],Price [Route Purchase],Id [Route],Title [Route],Type [Payment],Id [User]
"January 01, 2025 00:38",7.99,8935,Meissen Rundgang: mittelalterliche Altstadt und Burg,StripePayment,387463
"January 01, 2025 00:43",7.99,3186,Carmel-by-the-Sea: Fairy Tale Houses Walking Tour,CouponRedemptionResellerReply,387465
"January 01, 2025 01:14",7.99,10781,Laos’ Leaders and Legends: A Guide to Vientiane’s Folklore and Culture,AndroidPayment,384335
"January 01, 2025 01:19",7.99,4013,"The Best of Gion District: Geishas, Temples and Kabuki",StripePayment,387467
"January 01, 2025 01:32",9.99,9501,History and Architecture: A Tokyo Walking Tour with Context,InAppPurchase,387466
"January 01, 2025 02:24",9.99,7721,Uncovering Ubud: Stories and Scenery Along Campuhan Ridge Walk,CouponRedemptionPaid,387470
"January 01, 2025 02:27",7.99,3910,Fushimi Inari Shrine: An In-Depth Guide,InAppPurchase,387216
"January 01, 2025 03:10",7.99,6582,Downtown Tucson walking tour: 300 years of Spanish history along Main Street,StripePayment,387474
"January 01, 2025 04:06",19.99,10484,Yosemite National Park via Highway 140 (Japanese),CouponRedemptionPaid,387478
"January 01, 2025 04:17",7.99,10586,Temples and Dragons: A Walking Tour of Hanoi’s Hoàn Kiếm Lake and its History,CouponRedemptionResellerReply,126309
"January 01, 2025 04:44",9.99,9501,History and Architecture: A Tokyo Walking Tour with Context,InAppPurchase,381681
"January 01, 2025 04:44",9.99,9501,History and Architecture: A Tokyo Walking Tour with Context,InAppPurchase,386489
"January 01, 2025 04:44",9.99,9501,History and Architecture: A Tokyo Walking Tour with Context,InAppPurchase,386530
"January 01, 2025 04:54",5.99,762,The History of Trade in Singapore - from Chinatown to Boat Quay,InAppPurchase,210547
"January 01, 2025 05:35",2.99,2675,Skip the Line! Walk to the Peak,CouponRedemptionResellerReply,387482
"January 01, 2025 05:49",19.99,10594,Yosemite National Park via Highway 140 (Chinese),CouponRedemptionPaid,387483
"January 01, 2025 06:09",2.99,54,Muizenberg to Kalk Bay: a Coastal Stroll,CouponRedemptionResellerReply,387485
"January 01, 2025 06:28",3.99,2609,Old Kathmandu,InAppPurchase,387481
"January 01, 2025 06:38",0.0,1402,Museum Audio Guide: Home to South African Wine,FreePayment,387487
"January 01, 2025 06:42",0.0,1095,Cape Point Audio Guide: Lighthouse Walk,FreePayment,387487
"January 01, 2025 06:49",0.0,1446,Lower Cableway Station Audio Guide: In-Queue Entertainment,FreePayment,387487
"January 01, 2025 06:53",0.0,1403,Cellar Audio Guide: From Berry to Barrel to Bottle,FreePayment,387487
"January 01, 2025 06:57",0.0,9034,Redwoods and Wine Country (Portuguese),CouponRedemptionPaid,387490
"January 01, 2025 07:29",7.99,4233,Stumbling Through the Past: A Tour of Berlin's Jewish Quarter,AndroidPayment,379742
"January 01, 2025 07:29",7.99,3203,Copenhagen MonsTour,AndroidPayment,387492
"January 01, 2025 07:40",7.99,3758,The Venetian harbor and old town of Rethymno,InAppPurchase,387493
"January 01, 2025 07:48",0.0,1446,Lower Cableway Station Audio Guide: In-Queue Entertainment,FreePayment,387397
"January 01, 2025 07:50",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387397
"January 01, 2025 07:51",0.0,10664,Reinventing the Tavern of the Seas: A V&A Waterfront Walking Tour,FreePayment,387397
"January 01, 2025 07:52",9.99,5961,"The Best of Nice’s Old Town: Highlights, Legends and Secret Spots",InAppPurchase,384374
"January 01, 2025 07:54",0.0,1351,Vineyard Audio Guide: Deep Roots and Trade Routes,FreePayment,387397
"January 01, 2025 07:56",11.99,10259,Buda’s Castle District: A Walking Tour Through Budapest’s Bastion of Folklore,InAppPurchase,383486
"January 01, 2025 07:58",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387495
"January 01, 2025 07:59",5.99,10255,"Dwarfs, Ghosts and Beer: A Guide to Wrocław’s Old Town",InAppPurchase,386104
"January 01, 2025 07:59",0.0,2936,Norval Foundation’s Sculpture Garden: A Guide to the Artwork,FreePayment,387397
"January 01, 2025 08:01",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387486
"January 01, 2025 08:12",19.99,8847,History of the Jewish Ghetto in Rome: A Walking Tour with Context,CouponRedemptionPaid,384918
"January 01, 2025 08:15",19.99,9755,Acropolis of Athens Audio Guide: A Tour with Context,AndroidPayment,387496
"January 01, 2025 08:31",14.99,6911,"Ronda, Andalucia's 'city of dreams': A walking tour",AndroidPayment,282008
"January 01, 2025 08:42",6.99,9504,"Three Hundred Years of Art, Power, and Politics: A Tour of Medici Florence",AndroidPayment,386246
"January 01, 2025 08:56",9.99,4808,More than just Mustard: a Dab of Dijon’s Culture and Heritage,StripePayment,387500
"January 01, 2025 08:58",9.99,3351,Montmartre: More than Meets the Eye,CouponRedemptionResellerReply,387501
"January 01, 2025 09:00",9.99,3761,"Latin Quarter tour: The Panthéon, Rue Mouffetard and the best of the Left Bank",InAppPurchase,387501
"January 01, 2025 09:01",11.99,10218,The Jewish Quarter's Forgotten Stories: A Budapest Walking Tour,InAppPurchase,384363
"January 01, 2025 09:02",11.99,10218,The Jewish Quarter's Forgotten Stories: A Budapest Walking Tour,InAppPurchase,387502
"January 01, 2025 09:03",8.99,10696,The Hardest City to Invade: A Guide to Saint Malo’s Secrets and Stories,CouponRedemptionResellerReply,387503
"January 01, 2025 09:03",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387504
"January 01, 2025 09:04",9.99,4098,Discover Galway's city centre from the Medieval Quarter to the River Corrib,InAppPurchase,387505
"January 01, 2025 09:05",11.99,10218,The Jewish Quarter's Forgotten Stories: A Budapest Walking Tour,InAppPurchase,354309
"January 01, 2025 09:09",19.99,9560,Politics and Power: An Introduction to Florence with Context,InAppPurchase,68148
"January 01, 2025 09:10",6.99,6970,On the Origins of Charles Darwin: A Shrewsbury Walking Tour,CouponRedemptionResellerReply,387507
"January 01, 2025 09:13",4.99,28,Kirstenbosch Walking Tour,CouponRedemptionResellerReply,387506
"January 01, 2025 09:14",4.99,28,Kirstenbosch Walking Tour,CouponRedemptionResellerReply,387508
"January 01, 2025 09:24",19.99,8549,Borghese Gallery and Museum: An Audio Tour with Context,CouponRedemptionPaid,387512
"January 01, 2025 09:26",11.99,6655,Ancient Agora of Athens: A guide to its history and legends,AndroidPayment,387496
"January 01, 2025 09:27",8.99,852,The Heart of Venice,CouponRedemptionResellerReply,387513
"January 01, 2025 09:30",9.99,6789,600 Years of History and Heritage: A Leuven Walking Tour,CouponRedemptionResellerReply,387514
"January 01, 2025 09:37",11.99,10259,Buda’s Castle District: A Walking Tour Through Budapest’s Bastion of Folklore,InAppPurchase,385979
"January 01, 2025 09:41",8.99,10696,The Hardest City to Invade: A Guide to Saint Malo’s Secrets and Stories,StripePayment,387515
"January 01, 2025 09:45",0.0,5363,"Mandarin Oriental, Bangkok: a neighbourhood tour",CouponRedemption,387518
"January 01, 2025 09:55",8.99,10696,The Hardest City to Invade: A Guide to Saint Malo’s Secrets and Stories,StripePayment,387519
"January 01, 2025 09:55",9.99,7368,The History of Power in Modern Rome: A Walking Tour in the Ancient City,InAppPurchase,387517
"January 01, 2025 09:57",19.99,9629,The French Revolution in Paris: A Walking Tour with Context,CouponRedemptionPaid,387520
"January 01, 2025 09:58",9.99,7502,Parma tour: A walk through the history of Europe’s culinary capital,InAppPurchase,387376
"January 01, 2025 10:05",7.99,313,London's Alternative History Tour: Uncovering the City's Secrets,InAppPurchase,124903
"January 01, 2025 10:05",7.99,313,London's Alternative History Tour: Uncovering the City's Secrets,InAppPurchase,163611
"January 01, 2025 10:06",0.0,1446,Lower Cableway Station Audio Guide: In-Queue Entertainment,FreePayment,387351
"January 01, 2025 10:06",9.99,6953,Stockholm walking tour: the landmarks and legends of Gamla Stan and beyond,InAppPurchase,99126
"January 01, 2025 10:13",6.99,4153,"Bucharest’s Highlights and Beyond: Monarchy, Communism and Modern Times",StripePayment,385560
"January 01, 2025 10:15",6.99,10261,Bangkok's Old Town,InAppPurchase,386234
"January 01, 2025 10:17",0.0,1447,Upper Cableway Station Audio Guide: Tabletop Walking Tour,FreePayment,387526
"January 01, 2025 10:18",9.99,7923,Paris’ Iron Lady: A Walking Tour from Trocadéro Gardens to the Eiffel Tower,InAppPurchase,239500
"January 01, 2025 10:22",9.99,7385,The Dark Side of Zurich: A Walking Tour through Old Town,InAppPurchase,387527
